content_id,title,artist,status,quality_score,expected_duration_sec,actual_duration_sec,duration_delta_sec,file_size_bytes,file_ext,sha256,resolved_file,warnings,errors
-43391401_167955053,PAGE 82,EXERCICES AUDIO DE GRAMMAIRE,ok,100,258,257.930822,0.06917800000002217,4322120,.ts,fb8c4b77dfce03aa09fa652224b0eb21362d0bf8afdb3bc906e3602cb77f4595,C:\Users\HP Pro Book\Desktop\vk\downloads\0001_EXERCICES AUDIO DE GRAMMAIRE_PAGE 82.ts,,
-43391401_167954912,PAGE 81,EXERCICES AUDIO DE GRAMMAIRE,ok,100,278,277.914322,0.08567799999997305,4656384,.ts,ca817f3a63e0503be61491552a5e1d0849ae67d1ea3758d1ed00ae08b512a0ba,C:\Users\HP Pro Book\Desktop\vk\downloads\0002_EXERCICES AUDIO DE GRAMMAIRE_PAGE 81.ts,,
-43391401_167954781,PAGE 80,EXERCICES AUDIO DE GRAMMAIRE,ok,100,270,270.469489,0.46948900000001004,4527040,.ts,2fa6391a707fc6cafb7ccfdb4724f4d8e198a922ea7c31d8fdb46df441fcb84f,C:\Users\HP Pro Book\Desktop\vk\downloads\0003_EXERCICES AUDIO DE GRAMMAIRE_PAGE 80.ts,,
-43391401_167954654,PAGE 79,EXERCICES AUDIO DE GRAMMAIRE,ok,100,265,265.375656,0.3756559999999922,4439432,.ts,9232803f5e7768182ed5dc968c0aff8df8914b85cb64617245046dd25e57a6be,C:\Users\HP Pro Book\Desktop\vk\downloads\0004_EXERCICES AUDIO DE GRAMMAIRE_PAGE 79.ts,,
-43391401_167954549,PAGE 78,EXERCICES AUDIO DE GRAMMAIRE,ok,100,274,273.943744,0.05625600000001896,4587200,.ts,33e9aeece7a3c4d03e3e8c59872dfdf3aabff2caba818591170da963003859ee,C:\Users\HP Pro Book\Desktop\vk\downloads\0005_EXERCICES AUDIO DE GRAMMAIRE_PAGE 78.ts,,
-43391401_167954399,PAGE 77,EXERCICES AUDIO DE GRAMMAIRE,ok,100,263,263.886689,0.8866889999999898,4415368,.ts,a289b6467adef74415673df3415928f0894366610e4d62d42dbacc6e4864feac,C:\Users\HP Pro Book\Desktop\vk\downloads\0006_EXERCICES AUDIO DE GRAMMAIRE_PAGE 77.ts,,
-43391401_167954274,PAGE 76,EXERCICES AUDIO DE GRAMMAIRE,ok,100,275,275.432711,0.4327109999999834,4614272,.ts,54a7cef58e74bafbd84e6c4f5ab10ba1a601ed0d2439ebde7d84b2ebdca366cf,C:\Users\HP Pro Book\Desktop\vk\downloads\0007_EXERCICES AUDIO DE GRAMMAIRE_PAGE 76.ts,,
-43391401_167933605,PAGE 75,EXERCICES AUDIO DE GRAMMAIRE,ok,100,293,293.457044,0.45704399999999623,4912440,.ts,db239d565c6d9525d438ecd7f6860400c421489e2a6440b40af0e9db21af2a81,C:\Users\HP Pro Book\Desktop\vk\downloads\0008_EXERCICES AUDIO DE GRAMMAIRE_PAGE 75.ts,,
-43391401_167933434,PAGE 74,EXERCICES AUDIO DE GRAMMAIRE,ok,100,290,289.982789,0.017210999999974774,4855288,.ts,7f3d71377d0703deff60f99b20860e5ff5693bc6c2c588d9829864feb33d8571,C:\Users\HP Pro Book\Desktop\vk\downloads\0009_EXERCICES AUDIO DE GRAMMAIRE_PAGE 74.ts,,
-43391401_167933241,PAGE 73,EXERCICES AUDIO DE GRAMMAIRE,ok,100,289,289.486467,0.48646700000000465,4849272,.ts,c1978d02ad051aca02181480f2b1a3289c9e1d88adfca0aa759931f48e5c9ce3,C:\Users\HP Pro Book\Desktop\vk\downloads\0010_EXERCICES AUDIO DE GRAMMAIRE_PAGE 73.ts,,
-43391401_167933090,PAGE 72,EXERCICES AUDIO DE GRAMMAIRE,ok,100,237,237.424878,0.42487800000000675,3978832,.ts,89187bd69d3697bdaf8b73087936c10f1c4622a4ab241e5820d3192c6808c44e,C:\Users\HP Pro Book\Desktop\vk\downloads\0011_EXERCICES AUDIO DE GRAMMAIRE_PAGE 72.ts,,
-43391401_167932968,PAGE 71,EXERCICES AUDIO DE GRAMMAIRE,ok,100,296,296.9313,0.9313000000000216,4966584,.ts,8d73f4c31ecc990df36ecb940c6970d6af9d00fbf1bc2d080f9a6d100ebb28a9,C:\Users\HP Pro Book\Desktop\vk\downloads\0012_EXERCICES AUDIO DE GRAMMAIRE_PAGE 71.ts,,
-43391401_167932795,PAGE 70,EXERCICES AUDIO DE GRAMMAIRE,ok,100,281,281.388578,0.3885779999999954,4710528,.ts,a8cab554164f28d9a1f91e7aae63c5316c189f01e3284c1aff993f0b11d59d2b,C:\Users\HP Pro Book\Desktop\vk\downloads\0013_EXERCICES AUDIO DE GRAMMAIRE_PAGE 70.ts,,
-43391401_167932663,PAGE 69,EXERCICES AUDIO DE GRAMMAIRE,ok,100,293,293.457044,0.45704399999999623,4909432,.ts,8c2566c50458ad56328199e7ed84c84a3de05336e485081d543393ea45439f5b,C:\Users\HP Pro Book\Desktop\vk\downloads\0014_EXERCICES AUDIO DE GRAMMAIRE_PAGE 69.ts,,
-43391401_167932531,PAGE 68,EXERCICES AUDIO DE GRAMMAIRE,ok,100,317,316.940922,0.05907799999999952,5306864,.ts,9a2dafe4b5d7e5616c89d61fceb31a329a2d1c7f0a48c10098fba68618833c64,C:\Users\HP Pro Book\Desktop\vk\downloads\0015_EXERCICES AUDIO DE GRAMMAIRE_PAGE 68.ts,,
-43391401_167932390,PAGE 67,EXERCICES AUDIO DE GRAMMAIRE,ok,100,340,340.398678,0.3986780000000181,5695272,.ts,ceae60d16bacca4c6f37152f515b673327e90f2de0d1de8dfeed00b615300ff9,C:\Users\HP Pro Book\Desktop\vk\downloads\0016_EXERCICES AUDIO DE GRAMMAIRE_PAGE 67.ts,,
-43391401_167932215,PAGE 66,EXERCICES AUDIO DE GRAMMAIRE,ok,100,349,348.992889,0.007111000000008971,5846048,.ts,e4c270a033fd98c2e6c8ee3f0a888b9e409c807443134e24b211453f0343d229,C:\Users\HP Pro Book\Desktop\vk\downloads\0017_EXERCICES AUDIO DE GRAMMAIRE_PAGE 66.ts,,
-43391401_167932057,PAGE 65,EXERCICES AUDIO DE GRAMMAIRE,ok,100,304,304.872456,0.8724559999999997,5101944,.ts,f938c8947ea1a89bb164eb0e281a2fd50adda19f5b75cd4ea490e4d69fad6186,C:\Users\HP Pro Book\Desktop\vk\downloads\0018_EXERCICES AUDIO DE GRAMMAIRE_PAGE 65.ts,,
